,,,,,,
,I/uA,U/V,,,,
,4,443,,,,
,4,445,,,,
,8,418,,,,
,9,419,,,,
,11,410,,,,
,12,405,,,,
,14,405,,,,
,16,406,,,,
,18,401,,,,
,20,402,,,,
,23,394,,,,
,24,397,,,,
,25,395,,,,
,25,396,,,,
,28,394,,,,
,29,390,,,,
,30,395,,,,
,34,389,,,,
,40,381,,,,
,41,382,,,,
,44,380,,,,
,50,372,,,,
,58,357,,,,
,64,354,,,,
,73,350,,,,
,78,348,,,,
,88,345,,,,
,125,336,,,,
,147,334,.,,,
,185,307,,,,
,223,300,,,,
,275,304,,,,
,289,305,,,,
,293,305,,,,
,313,307,,,,
,319,307,,,,
,330,308,,,,
,336,308,,,,
,364,311,,,,
,379,312,,,,
,391,313,,,,
,399,314,,,,
,423,316,,,,
,432,316,,,,
,454,318,,,,
,486,321,,,,
,513,324,,,,
,539,326,,,,
,583,330,,,,
,610,332,,,,
,645,335,,,,
,680,338,,,,
,739,344,.,,,
,777,347,,,,
,847,352,,,,
,859,353,,,,
,903,357,,,,
,977,362,,,,
,1180,376,,,,
,1509,397,,,,
,1756,412,,,,
,2077,430,,,,
,2177,437,,,,
,2330,444,,,,
,2390,449,,,,
,2499,456,,,,
,2660,463,,,,
,2784,469,,,,
