,U/V,I/uA,,,,
,-97.3,-4,,,,
,-92.2,-4,,,,
,-86.9,-3,,,,
,-81.9,-3,,,,
,-77,-3,,,,
,-71.9,-3,,,,
,-66.9,-2,,,,
,-61.8,-2,,,,
,-58,-2,,,,
,-51.9,-1,,,,
,-47.1,-1,,,,
,-42,-1,,,,
,-37,0,,,,
,-32.1,0,,,,
,-27,1,,,,
,-21.9,2,,,,
,-17,4,,,,
,-11.9,6,,,,
,-7,9,,,,
,-2,14,,,,
,1,19,,,,
,2.8,23,,,,
,4.8,28,,,,
,6.4,34,,,,
,7.7,39,,,,
,9.2,45,,,,
,10,50,,,,
,11.1,56,,,,
,12,61,,,,
,12.8,66,,,,
,13.8,74,,,,
,14.5,80,,,,
,15.7,89,,,,
,16.9,97,,,,
,17.9,107,,,,
,18.8,116,,,,
,19.6,127,,,,
,20.3,138,,,,
,20.9,149,,,,
,21.6,163,,,,
,22.2,175,,,,
,22.8,185,,,,
,23.3,194,,,,
,24,210,,,,
,24.6,233,,,,
,25.7,245,,,,
,27.1,252,,,,
,28,254,,,,
,29,259,,,,
,30.3,263,,,,
,31.8,270,,,,
,33.3,281,,,,
,34.1,288,,,,
,35.3,302,,,,
,36.4,316,,,,
,37.2,333,,,,
,37.9,353,,,,
,38.5,370,,,,
,39.1,395,,,,
,39.5,412,,,,
,40,433,,,,
,40.4,453,,,,
,40.9,473,,,,
,41.5,492,,,,
,42.1,506,,,,
,42.9,524,,,,
,44.3,541,,,,
,46.1,551,,,,
,48.2,562,,,,
,50.7,572,,,,
,53.6,578,,,,
,56.5,583,,,,
,60.6,584,,,,
,64.1,589,,,,
,66.3,590,,,,
,71.4,593,,,,
,76.1,600,,,,
,81.4,605,,,,
,86.2,612,,,,
,91,619,,,,
,96.3,627,,,,
,100.9,629,,,,
