,,,,,,
,I/uA,U/V,,,,
,3,438,,,,
,3,434,,,,
,7,403,,,,
,7,415,,,,
,7,416,,,,
,10,405,,,,
,10,410,,,,
,12,402,,,,
,14,402,,,,
,16,400,,,,
,18,398,,,,
,21,395,,,,
,22,396,,,,
,23,395,,,,
,23,395,,,,
,26,394,,,,
,26,394,,,,
,28,396,,,,
,31,392,,,,
,37,381,,,,
,38,382,,,,
,42,381,,,,
,46,378,,,,
,53,377,,,,
,54,372,,,,
,63,363,,,,
,67,357,,,,
,79,348,,,,
,112,334,.,,,
,143,302,,,,
,168,302,,,,
,202,306,,,,
,248,312,,,,
,262,314,,,,
,266,314,,,,
,282,317,,,,
,285,318,,,,
,297,319,,,,
,300,319,,,,
,321,323,,,,
,340,325,,,,
,345,325,,,,
,340,325,,,,
,356,327,,,,
,360,328,,,,
,380,331,,,,
,410,334,,,,
,442,339,,,,
,462,341,,,,
,502,345,,,,
,514,347,,,,
,552,351,.,,,
,595,357,,,,
,644,361,,,,
,677,365,,,,
,740,371,,,,
,748,372,,,,
,786,376,,,,
,850,382,,,,
,1020,397,,,,
,1280,420,,,,
,1496,438,,,,
,1776,455,,,,
,1815,460,,,,
,1955,469,,,,
,2044,476,,,,
,2124,485,,,,
,2240,492,,,,
,2355,499,.,,,
