,U/V,I/uA,,,,
,-97.6,-4,,,,
,-91.9,-3,,,,
,-87.2,-3,,,,
,-82.0,-3,,,,
,-78,-3,,,,
,-72,-2,,,,
,-68,-2,,,,
,-62,-2,,,,
,-58,-2,,,,
,-52,-1,,,,
,-48,-1,,,,
,-42,-1,,,,
,-28,0,,,,
,-32,0,,,,
,-28,0,,,,
,-22,1,,,,
,-17,3,,,,
,-12,5,,,,
,-7,9,,,,
,-1.2,14,,,,
,2.3,19,,,,
,4.8,24,,,,
,6.7,29,,,,
,8.3,34,,,,
,9.6,39,,,,
,10.6,44,,,,
,11.8,49,,,,
,12.6,53,,,,
,13.5,59,,,,
,14.3,64,,,,
,14.9,69,,,,
,15.6,74,,,,
,16.3,81,,,,
,17.1,86,,,,
,17.6,91,,,,
,18.4,97,,,,
,19,101,,,,
,19.7,107,,,,
,20.3,114,,,,
,20.8,120,,,,
,21.3,128,,,,
,21.9,127,,,,
,22.6,146,,,,
,23.6,155,,,,
,23.9,163,,,,
,24.6,172,,,,
,25,183,,,,
,25.3,194,,,,
,26.5,207,,,,
,28,217,,,,
,29.4,226,,,,
,31.1,233,,,,
,32.8,240,,,,
,33.5,246,,,,
,34.3,253,,,,
,35.4,264,,,,
,36.4,277,,,,
,37.2,299,,,,
,37.9,307,,,,
,38.4,322,,,,
,39.1,344,,,,
,39.5,361,,,,
,40,380,,,,
,40.3,399,,,,
,40.7,415,,,,
,41.5,440,,,,
,42.5,457,,,,
,43.2,469,,,,
,45.1,477,,,,
,47.6,493,,,,
,51.7,505,,,,
,56.3,510,,,,
,59.9,513,,,,
,65.1,516,,,,
,69.8,522,.,,,
,74.9,531,,,,
,80.2,534,,,,
,85,536,,,,
,90,541,,,,
,95.1,548,,,,
,100.3,551,,,,
