186.832	626.3
187.157	942.3
187.483	946.7
187.808	962.0
188.134	941.7
188.459	937.3
188.785	951.0
189.110	926.7
189.436	928.7
189.761	947.0
190.087	925.3
190.413	915.7
190.739	896.7
191.064	941.0
191.390	918.3
191.716	909.7
192.042	948.7
192.368	948.3
192.694	917.3
193.020	917.7
193.346	940.3
193.672	932.0
193.998	928.3
194.324	928.0
194.651	931.3
194.977	930.0
195.303	952.0
195.629	937.3
195.956	913.3
196.282	944.3
196.609	912.3
196.935	924.0
197.261	917.3
197.588	918.3
197.915	922.3
198.241	929.0
198.568	928.0
198.895	930.7
199.221	907.0
199.548	921.0
199.875	928.7
200.202	935.3
200.529	897.7
200.856	926.3
201.182	929.7
201.509	923.7
201.837	922.7
202.164	935.0
202.491	936.3
202.818	938.0
203.145	914.3
203.472	914.7
203.799	910.3
204.127	928.0
204.454	926.3
204.781	906.3
205.109	918.7
205.436	908.0
205.764	903.0
206.091	919.3
206.419	916.7
206.746	924.7
207.074	910.3
207.402	918.7
207.729	905.0
208.057	933.0
208.385	939.7
208.713	928.0
209.041	923.0
209.369	948.0
209.696	907.7
210.024	943.0
210.352	918.0
210.680	942.0
211.009	935.7
211.337	952.3
211.665	933.0
211.993	950.7
212.321	935.3
212.650	943.0
212.978	939.0
213.306	949.0
213.635	922.3
213.963	941.7
214.291	943.0
214.620	945.3
214.948	918.0
215.277	928.0
215.606	938.7
215.934	972.3
216.263	914.3
216.592	928.3
216.920	924.0
217.249	932.3
217.578	939.0
217.907	945.7
218.236	920.7
218.565	951.0
218.894	930.0
219.223	933.3
219.552	933.3
219.881	973.0
220.210	919.3
220.539	930.0
220.868	912.7
221.197	945.7
221.527	936.3
221.856	933.3
222.185	934.7
222.515	943.0
222.844	925.0
223.173	950.0
223.503	954.0
223.832	952.7
224.162	947.0
224.492	964.7
224.821	917.0
225.151	942.7
225.481	930.0
225.810	928.0
226.140	933.0
226.470	932.0
226.800	914.7
227.130	950.7
227.460	923.3
227.790	943.3
228.120	920.7
228.450	933.7
228.780	927.0
229.110	954.3
229.440	948.3
229.770	968.3
230.100	956.0
230.431	957.0
230.761	953.3
231.091	956.0
231.422	943.7
231.752	960.0
232.082	945.3
232.413	962.0
232.743	956.7
233.074	952.3
233.404	939.7
233.735	959.3
234.066	957.7
234.396	956.0
234.727	918.7
235.058	950.3
235.389	962.0
235.719	959.7
236.050	938.0
236.381	968.0
236.712	951.3
237.043	948.3
237.374	963.7
237.705	961.3
238.036	956.0
238.367	986.7
238.699	972.3
239.030	957.7
239.361	946.7
239.692	969.7
240.024	935.7
240.355	953.3
240.686	954.0
241.018	957.0
241.349	929.0
241.681	947.0
242.012	964.0
242.344	994.7
242.675	951.3
243.007	976.3
243.339	991.3
243.670	952.7
244.002	956.7
244.334	942.0
244.666	957.7
244.997	984.3
245.329	961.7
245.661	970.7
245.993	945.0
246.325	985.7
246.657	937.3
246.989	968.7
247.321	972.3
247.654	964.3
247.986	928.0
248.318	970.3
248.650	944.0
248.982	947.7
249.315	955.0
249.647	962.0
249.979	949.7
250.312	948.0
250.644	956.0
250.977	956.3
251.309	945.7
251.642	950.7
251.974	948.7
252.307	950.7
252.640	941.7
252.972	957.0
253.305	935.0
253.638	946.7
253.971	970.7
254.304	964.0
254.637	969.3
254.969	960.3
255.302	963.3
255.635	958.0
255.968	950.0
256.301	959.3
256.635	931.7
256.968	963.0
257.301	961.0
257.634	947.3
257.967	933.0
258.301	951.0
258.634	938.7
258.967	936.7
259.301	959.0
259.634	963.0
259.967	938.0
260.301	951.7
260.634	942.3
260.968	941.7
261.302	942.3
261.635	971.0
261.969	949.7
262.303	930.7
262.636	943.0
262.970	950.7
263.304	920.3
263.638	953.0
263.972	936.0
264.306	953.7
264.639	952.7
264.973	963.3
265.307	928.3
265.642	943.0
265.976	948.3
266.310	945.3
266.644	941.3
266.978	979.7
267.312	939.7
267.647	971.7
267.981	949.3
268.315	967.3
268.650	949.7
268.984	952.3
269.318	956.0
269.653	947.7
269.987	940.0
270.322	966.0
270.656	962.3
270.991	940.0
271.326	924.0
271.660	961.0
271.995	939.0
272.330	943.7
272.665	946.3
272.999	936.3
273.334	938.3
273.669	961.7
274.004	968.0
274.339	947.3
274.674	925.0
275.009	947.3
275.344	935.3
275.679	968.3
276.014	940.7
276.350	951.0
276.685	945.0
277.020	952.3
277.355	959.7
277.691	963.3
278.026	948.0
278.361	974.0
278.697	942.3
279.032	956.0
279.368	953.0
279.703	957.7
280.039	954.7
280.374	955.7
280.710	943.7
281.046	954.7
281.381	929.7
281.717	964.7
282.053	946.7
282.389	947.7
282.724	941.0
283.060	942.3
283.396	929.3
283.732	952.7
284.068	942.3
284.404	928.0
284.740	955.3
285.076	963.7
285.412	945.7
285.748	934.7
286.085	936.3
286.421	965.3
286.757	930.7
287.093	937.7
287.430	955.3
287.766	958.7
288.102	948.0
288.439	945.3
288.775	957.3
289.112	952.0
289.448	912.7
289.785	948.3
290.121	958.3
290.458	942.3
290.795	947.0
291.131	928.0
291.468	946.7
291.805	961.7
292.142	938.7
292.478	950.0
292.815	934.0
293.152	934.7
293.489	930.3
293.826	941.0
294.163	919.7
294.500	938.7
294.837	920.3
295.174	968.7
295.511	940.7
295.849	930.3
296.186	920.3
296.523	946.3
296.860	953.7
297.198	951.7
297.535	927.0
297.872	952.0
298.210	954.0
298.547	940.3
298.885	943.3
299.222	934.0
299.560	933.7
299.897	938.0
300.235	929.7
300.572	953.3
300.910	926.7
301.248	938.3
301.586	926.7
301.923	930.3
302.261	932.3
302.599	963.0
302.937	935.0
303.275	931.0
303.613	928.3
303.951	933.0
304.289	927.0
304.627	952.7
304.965	933.0
305.303	943.7
305.641	937.7
305.979	928.0
306.318	937.0
306.656	946.7
306.994	940.0
307.332	927.7
307.671	931.7
308.009	953.0
308.348	921.3
308.686	949.0
309.025	946.0
309.363	954.0
309.702	941.0
310.040	922.0
310.379	935.0
310.718	954.7
311.056	927.3
311.395	936.0
311.734	908.0
312.072	961.3
312.411	925.0
312.750	932.3
313.089	944.7
313.428	947.0
313.767	928.0
314.106	949.7
314.445	925.3
314.784	918.0
315.123	922.3
315.462	934.7
315.801	947.7
316.141	928.3
316.480	911.7
316.819	922.3
317.158	912.7
317.498	929.0
317.837	921.0
318.176	928.0
318.516	928.0
318.855	925.7
319.195	915.0
319.534	934.7
319.874	931.7
320.213	942.3
320.553	937.0
320.893	934.3
321.232	935.3
321.572	913.3
321.912	925.0
322.252	947.7
322.592	944.0
322.931	941.0
323.271	935.7
323.611	952.0
323.951	935.3
324.291	951.7
324.631	938.3
324.971	923.7
325.311	929.0
325.651	967.7
325.992	943.3
326.332	951.3
326.672	926.7
327.012	937.3
327.353	956.0
327.693	956.7
328.033	946.0
328.374	931.0
328.714	964.0
329.055	950.7
329.395	939.0
329.736	976.0
330.076	934.3
330.417	944.3
330.757	958.7
331.098	959.0
331.439	954.7
331.779	961.7
332.120	954.0
332.461	952.7
332.802	933.0
333.143	932.7
333.483	937.7
333.824	966.7
334.165	941.7
334.506	967.7
334.847	965.3
335.188	946.3
335.529	958.0
335.870	946.7
336.212	945.0
336.553	943.7
336.894	950.0
337.235	941.3
337.576	927.7
337.918	962.0
338.259	936.3
338.600	932.0
338.942	939.3
339.283	942.3
339.625	944.7
339.966	944.3
340.308	974.3
340.649	969.7
340.991	931.0
341.333	927.7
341.674	953.0
342.016	933.7
342.358	938.3
342.699	935.7
343.041	955.0
343.383	935.0
343.725	952.0
344.067	957.3
344.409	931.7
344.751	946.7
345.093	954.7
345.435	944.3
345.777	942.3
346.119	960.7
346.461	953.0
346.803	939.7
347.145	940.7
347.488	926.0
347.830	936.0
348.172	927.7
348.514	918.7
348.857	953.7
349.199	934.3
349.541	951.3
349.884	923.7
350.226	929.7
350.569	938.3
350.911	955.0
351.254	923.3
351.597	915.3
351.939	950.7
352.282	922.7
352.625	942.0
352.967	956.7
353.310	919.0
353.653	936.3
353.996	925.7
354.339	946.7
354.681	938.0
355.024	941.0
355.367	933.0
355.710	940.0
356.053	937.0
356.396	950.7
356.739	928.0
357.083	944.0
357.426	938.0
357.769	917.3
358.112	915.3
358.455	914.0
358.799	918.3
359.142	920.3
359.485	925.3
359.829	903.3
360.172	917.7
360.515	934.3
360.859	879.7
361.202	929.7
361.546	905.7
361.889	928.0
362.233	911.0
362.577	912.7
362.920	917.3
363.264	926.0
363.608	912.3
363.951	923.7
364.295	924.0
364.639	932.3
364.983	909.7
365.327	932.0
365.671	917.3
366.015	934.3
366.359	941.3
366.703	945.0
367.047	917.7
367.391	936.0
367.735	927.0
368.079	932.7
368.423	937.7
368.767	936.7
369.111	931.0
369.456	942.3
369.800	921.0
370.144	944.7
370.489	941.7
370.833	927.3
371.177	926.7
371.522	962.3
371.866	934.3
372.211	949.3
372.555	951.7
372.900	946.3
373.245	929.3
373.589	958.0
373.934	931.3
374.279	924.7
374.623	956.7
374.968	959.0
375.313	936.0
375.658	929.0
376.003	960.7
376.347	958.7
376.692	948.7
377.037	943.3
377.382	938.3
377.727	961.7
378.072	954.7
378.417	939.7
378.762	944.0
379.108	981.7
379.453	957.3
379.798	967.3
380.143	914.3
380.488	957.7
380.834	939.7
381.179	953.0
381.524	923.7
381.870	942.3
382.215	929.3
382.561	947.3
382.906	925.7
383.252	980.7
383.597	938.0
383.943	962.0
384.288	924.0
384.634	944.0
384.980	937.3
385.325	940.7
385.671	954.0
386.017	935.3
386.363	933.3
386.708	936.3
387.054	941.7
387.400	965.7
387.746	938.0
388.092	952.7
388.438	937.7
388.784	973.3
389.130	946.3
389.476	936.0
389.822	946.0
390.168	966.0
390.514	975.0
390.860	955.7
391.207	941.7
391.553	987.3
391.899	937.7
392.246	982.7
392.592	962.3
392.938	960.0
393.285	935.7
393.631	975.0
393.978	960.3
394.324	1001.7
394.671	1014.3
395.017	1008.3
395.364	999.0
395.710	970.0
396.057	976.3
396.404	955.0
396.750	981.3
397.097	988.7
397.444	973.7
397.791	981.7
398.137	961.7
398.484	949.3
398.831	958.0
399.178	957.3
399.525	946.0
