186.832	600.7
187.157	922.0
187.483	928.0
187.808	955.0
188.134	937.7
188.459	936.0
188.785	936.3
189.110	934.7
189.436	918.3
189.761	940.7
190.087	920.0
190.413	919.7
190.739	915.0
191.064	933.3
191.390	920.0
191.716	919.0
192.042	943.3
192.368	941.7
192.694	915.0
193.020	916.3
193.346	929.7
193.672	930.3
193.998	919.3
194.324	912.3
194.651	928.7
194.977	922.0
195.303	932.0
195.629	936.0
195.956	911.3
196.282	943.3
196.609	901.3
196.935	917.3
197.261	918.3
197.588	923.0
197.915	913.0
198.241	920.7
198.568	911.7
198.895	933.3
199.221	897.7
199.548	919.0
199.875	935.0
200.202	919.7
200.529	900.3
200.856	934.7
201.182	911.3
201.509	914.0
201.837	914.7
202.164	926.0
202.491	923.0
202.818	936.0
203.145	912.3
203.472	922.3
203.799	899.0
204.127	924.3
204.454	921.0
204.781	903.7
205.109	920.7
205.436	905.3
205.764	895.3
206.091	903.0
206.419	908.3
206.746	923.7
207.074	881.3
207.402	921.3
207.729	904.7
208.057	925.0
208.385	926.7
208.713	918.0
209.041	908.3
209.369	940.3
209.696	893.3
210.024	930.7
210.352	909.3
210.680	935.0
211.009	932.0
211.337	948.0
211.665	920.0
211.993	948.3
212.321	924.7
212.650	937.3
212.978	931.7
213.306	941.0
213.635	909.7
213.963	932.7
214.291	940.7
214.620	937.3
214.948	905.0
215.277	928.3
215.606	932.3
215.934	965.7
216.263	914.7
216.592	934.3
216.920	915.7
217.249	919.3
217.578	929.0
217.907	933.3
218.236	910.3
218.565	932.3
218.894	922.0
219.223	935.3
219.552	930.3
219.881	951.3
220.210	913.0
220.539	921.3
220.868	914.3
221.197	943.0
221.527	932.0
221.856	928.0
222.185	922.3
222.515	937.3
222.844	931.3
223.173	946.0
223.503	946.0
223.832	940.7
224.162	924.7
224.492	948.3
224.821	903.0
225.151	937.0
225.481	927.0
225.810	932.0
226.140	921.0
226.470	928.0
226.800	907.0
227.130	943.0
227.460	917.7
227.790	941.7
